,date,close,open,high,low
353,2023-05-11,12328.51,12321.26,12347.38,12255.44
354,2023-05-10,12306.44,12286.66,12337.69,12180.86
355,2023-05-09,12179.55,12195.78,12216.13,12174.06
356,2023-05-08,12256.92,12231.68,12264.99,12178.26
357,2023-05-05,12235.41,12073.03,12264.83,12065.72
358,2023-05-04,11966.4,11997.34,12033.15,11925.37
359,2023-05-03,12025.33,12097.04,12212.55,12022.46
360,2023-05-02,12080.51,12198.02,12206.58,12015.23
361,2023-05-01,12212.6,12210.05,12261.32,12181.08
362,2023-04-28,12226.58,12117.54,12227.72,12082.57
363,2023-04-27,12142.24,11972.15,12154.01,11950.92
364,2023-04-26,11854.35,11913.23,11967.99,11833.07
365,2023-04-25,11799.16,11968.81,11990.46,11798.77
366,2023-04-24,12037.2,12053.47,12103.58,11960.3
367,2023-04-21,12072.46,12046.03,12097.15,11986.82
368,2023-04-20,12059.56,12039.08,12155.96,12011.95
369,2023-04-19,12157.23,12063.68,12191.1,12060.17
370,2023-04-18,12153.41,12234.56,12245.43,12110.23
371,2023-04-17,12157.72,12108.23,12159.02,12064.1
372,2023-04-14,12123.47,12117.91,12205.72,12026.55
373,2023-04-13,12166.27,11997.42,12178.8,11995.94
374,2023-04-12,11929.34,12110.87,12134.5,11916.54
375,2023-04-11,12031.88,12080.24,12091.27,12011.4
376,2023-04-10,12084.35,11975.13,12084.95,11924.2
377,2023-04-06,12087.96,11939.08,12098.5,11898.36
378,2023-04-05,11996.86,12081.76,12086.75,11931.85
379,2023-04-04,12126.33,12208.49,12224.68,12081.81
380,2023-04-03,12189.45,12146.09,12196.34,12086.52
381,2023-03-31,12221.91,12031.54,12227.93,12030.44
382,2023-03-30,12013.47,12010.45,12044.79,11953.37
383,2023-03-29,11926.24,11855.59,11941.6,11823.35
384,2023-03-28,11716.08,11752.76,11752.76,11635.03
385,2023-03-27,11768.84,11868.54,11903.21,11739.05
386,2023-03-24,11823.96,11747.62,11826.23,11670.67
387,2023-03-23,11787.4,11811.32,11962.69,11684.52
388,2023-03-22,11669.96,11857.5,12013.99,11666.85
389,2023-03-21,11860.11,11764.79,11879.16,11724.91
390,2023-03-20,11675.54,11614.39,11695.55,11550.69
391,2023-03-17,11630.51,11696.34,11773.11,11562.63
392,2023-03-16,11717.28,11384.87,11733.8,11365.49
393,2023-03-15,11434.05,11397.35,11447.9,11238.44
394,2023-03-14,11428.15,11357.73,11467.02,11284.93
395,2023-03-13,11188.84,11041.46,11326.73,10982.8
396,2023-03-10,11138.89,11325.36,11373.81,11093.86
397,2023-03-09,11338.35,11578.31,11667.12,11319.98
398,2023-03-08,11576.0,11553.09,11601.23,11487.75
399,2023-03-07,11530.33,11670.98,11705.96,11512.03
400,2023-03-06,11675.74,11736.87,11827.92,11667.48
401,2023-03-03,11689.01,11524.65,11699.63,11514.74
402,2023-03-02,11462.98,11273.77,11487.59,11273.61
403,2023-03-01,11379.48,11447.58,11479.0,11349.87
404,2023-02-28,11455.54,11451.05,11548.23,11435.39
405,2023-02-27,11466.98,11517.19,11565.23,11444.6
406,2023-02-24,11394.94,11404.18,11434.36,11334.47
407,2023-02-23,11590.4,11636.93,11638.98,11432.58
408,2023-02-22,11507.07,11517.2,11582.52,11445.17
409,2023-02-21,11492.3,11640.37,11684.14,11491.18
410,2023-02-17,11787.27,11777.5,11803.22,11673.21
411,2023-02-16,11855.83,11896.31,12040.34,11853.36
412,2023-02-15,12070.59,11905.12,12071.29,11876.82
413,2023-02-14,11960.15,11808.2,11999.85,11760.56
414,2023-02-13,11891.79,11759.09,11910.92,11719.73
415,2023-02-10,11718.12,11714.6,11775.8,11630.54
416,2023-02-09,11789.58,12069.1,12070.96,11745.11
417,2023-02-08,11910.52,12069.12,12096.39,11890.09
418,2023-02-07,12113.79,11891.25,12150.22,11836.78
419,2023-02-06,11887.45,11904.41,11973.41,11843.49
420,2023-02-03,12006.95,11946.86,12231.31,11946.86
421,2023-02-02,12200.82,12065.15,12269.55,12024.14
422,2023-02-01,11816.32,11573.14,11904.02,11500.33
423,2023-01-31,11584.55,11398.58,11586.01,11398.37
424,2023-01-30,11393.81,11512.34,11553.31,11388.54
425,2023-01-27,11621.71,11470.47,11691.89,11470.27
426,2023-01-26,11512.41,11458.4,11516.05,11341.19
427,2023-01-25,11313.36,11146.53,11334.22,11069.18
428,2023-01-24,11334.27,11302.93,11378.15,11282.65
429,2023-01-23,11364.41,11171.94,11405.5,11144.03
430,2023-01-20,11140.43,10924.66,11143.17,10885.65
431,2023-01-19,10852.27,10890.4,10932.52,10804.57
432,2023-01-18,10957.01,11170.95,11223.41,10952.05
433,2023-01-17,11095.11,11070.0,11145.44,11024.72
434,2023-01-13,11079.16,10906.37,11084.01,10900.16
435,2023-01-12,11001.1,10969.26,11027.75,10797.12
436,2023-01-11,10931.67,10794.99,10932.44,10762.73
437,2023-01-10,10742.63,10607.72,10743.67,10589.59
438,2023-01-09,10635.65,10662.1,10807.26,10619.12
439,2023-01-06,10569.29,10363.96,10604.14,10265.04
440,2023-01-05,10305.24,10390.31,10393.22,10295.25
441,2023-01-04,10458.76,10467.82,10515.22,10337.64
442,2023-01-03,10386.98,10562.06,10613.06,10309.16
443,2022-12-30,10466.48,10368.37,10468.31,10324.7
444,2022-12-29,10478.09,10321.46,10502.08,10301.06
445,2022-12-28,10213.29,10339.2,10414.82,10207.47
446,2022-12-27,10353.23,10462.19,10472.32,10340.73
447,2022-12-23,10497.86,10437.75,10514.76,10361.82
448,2022-12-22,10476.12,10586.46,10599.34,10313.32
449,2022-12-21,10709.37,10592.0,10753.57,10569.2
450,2022-12-20,10547.11,10490.89,10609.46,10446.82
451,2022-12-19,10546.03,10707.44,10713.97,10497.55
452,2022-12-16,10705.41,10767.63,10833.24,10642.1
453,2022-12-15,10810.53,11012.62,11029.57,10775.61
454,2022-12-14,11170.89,11248.09,11352.09,11065.24
455,2022-12-13,11256.81,11542.84,11571.64,11160.54
456,2022-12-12,11143.74,11015.48,11144.67,10984.82
457,2022-12-09,11004.62,11038.17,11138.7,10999.26
458,2022-12-08,11082.0,11011.33,11119.16,10939.47
459,2022-12-07,10958.55,10963.95,11039.81,10910.62
460,2022-12-06,11014.89,11228.42,11241.42,10956.2
461,2022-12-05,11239.94,11380.99,11425.51,11193.02
462,2022-12-02,11461.5,11308.38,11492.32,11296.72
463,2022-12-01,11482.45,11475.17,11546.77,11378.75
464,2022-11-30,11468.0,10995.2,11468.47,10966.53
465,2022-11-29,10983.78,11060.02,11086.02,10944.37
466,2022-11-28,11049.5,11147.57,11217.75,11020.69
467,2022-11-25,11226.36,11231.0,11261.57,11206.38
468,2022-11-23,11285.32,11174.61,11310.82,11174.61
469,2022-11-22,11174.41,11058.56,11179.87,10975.66
470,2022-11-21,11024.51,11091.01,11128.78,10999.75
471,2022-11-18,11146.06,11257.01,11259.44,11059.16
472,2022-11-17,11144.96,11008.67,11198.84,11006.21
473,2022-11-16,11183.66,11260.1,11286.1,11162.92
474,2022-11-15,11358.41,11474.82,11492.62,11241.15
475,2022-11-14,11196.22,11233.9,11350.12,11167.17
476,2022-11-11,11323.33,11124.75,11352.43,11069.83
